threshold,tp,fp,fn,tn,predicted_positives,accuracy,precision,recall,contamination,f1
0.34285714285714286,3750,3432,39,12163,7182,0.820934791580685,0.5221386800334169,0.9897070467141726,0.4778613199665831,0.6836204539239815
0.36020408163265305,3749,3361,40,12234,7110,0.8245460173338837,0.5272855133614627,0.9894431248350488,0.47271448663853727,0.6879530232131388
0.37755102040816324,3748,3310,41,12285,7058,0.827125464300454,0.5310286200056673,0.9891792029559251,0.4689713799943327,0.6910666543744816
0.39489795918367343,3748,3269,41,12326,7017,0.8292406108130417,0.5341313951831267,0.9891792029559251,0.4658686048168733,0.6936886914677032
0.4122448979591836,3747,3230,42,12365,6977,0.8312009905076352,0.5370503081553676,0.9889152810768013,0.46294969184463236,0.6960802526472226
0.4295918367346939,3747,3198,42,12397,6945,0.8328518365662402,0.5395248380129589,0.9889152810768013,0.460475161987041,0.6981553940749021
0.4469387755102041,3743,3144,46,12451,6887,0.8354312835328106,0.5434877305067518,0.9878595935603062,0.45651226949324814,0.7011989509179468
0.4642857142857143,3743,3122,46,12473,6865,0.8365662401981016,0.5452294246176257,0.9878595935603062,0.45477057538237436,0.702646893185658
0.4816326530612245,3742,3085,47,12510,6827,0.8384234420140322,0.5481177676871246,0.9875956716811823,0.45188223231287533,0.7049736247174077
0.4989795918367347,3742,3072,47,12523,6814,0.8390940982253405,0.5491634869386557,0.9875956716811823,0.4508365130613443,0.7058379703857398
0.5163265306122449,3742,3038,47,12557,6780,0.8408481221626083,0.5519174041297935,0.9875956716811823,0.4480825958702065,0.708108619547734
0.5336734693877551,3742,3011,47,12584,6753,0.8422410235245563,0.5541240929957056,0.9875956716811823,0.4458759070042944,0.7099222158983114
0.5510204081632653,3741,2982,48,12613,6723,0.8436855138258358,0.5564480142793395,0.9873317498020586,0.4435519857206604,0.7117579908675798
0.5683673469387756,3740,2950,49,12645,6690,0.8452847709451093,0.5590433482810164,0.9870678279229348,0.44095665171898357,0.7138085695199923
0.5857142857142857,3739,2929,50,12666,6668,0.8463165497317375,0.5607378524295141,0.9868039060438111,0.43926214757048593,0.7151190590035382
0.6030612244897959,3739,2912,50,12683,6651,0.8471935617003714,0.5621711020899113,0.9868039060438111,0.4378288979100887,0.7162835249042145
0.6204081632653061,3739,2892,50,12703,6631,0.8482253404869996,0.5638666867742422,0.9868039060438111,0.4361333132257578,0.717658349328215
0.6377551020408163,3738,2878,51,12717,6616,0.8488959966983078,0.564993954050786,0.9865399841646872,0.43500604594921405,0.7185007208073042
0.6551020408163265,3735,2871,54,12724,6606,0.8491023524556335,0.5653950953678474,0.9857482185273159,0.43460490463215257,0.7186147186147185
0.6724489795918367,3734,2851,55,12744,6585,0.8500825423029302,0.567046317388003,0.9854842966481921,0.43295368261199696,0.7198766146134568
0.6897959183673469,3730,2830,59,12765,6560,0.8509595542715642,0.5685975609756098,0.984428609131697,0.43140243902439024,0.7208425934872934
0.7071428571428571,3727,2812,62,12783,6539,0.8517333883615353,0.5699648264260591,0.9836368434943257,0.43003517357394094,0.721727343144849
0.7244897959183673,3727,2792,62,12803,6519,0.8527651671481634,0.5717134529835864,0.9836368434943257,0.42828654701641355,0.7231276678308111
0.7418367346938776,3725,2783,64,12812,6508,0.8531262897234833,0.5723724646588814,0.9831089997360781,0.42762753534111864,0.7235117024376031
0.7591836734693878,3720,2770,69,12825,6490,0.8535390012381345,0.5731895223420647,0.9817893903404592,0.4268104776579353,0.7238058176865452
0.7765306122448979,3719,2746,70,12849,6465,0.8547255468427569,0.5752513534416087,0.9815254684613355,0.42474864655839134,0.72537546323386
0.7938775510204081,3712,2724,77,12871,6436,0.855499380932728,0.5767557489123679,0.979678015307469,0.4232442510876321,0.7260635696821516
0.8112244897959183,3704,2696,85,12899,6400,0.8565311597193561,0.57875,0.9775666402744787,0.42125,0.7270585925998626
0.8285714285714285,3697,2666,92,12929,6363,0.8577177053239785,0.581015244381581,0.9757191871206123,0.41898475561841897,0.7283293932230103
0.8459183673469387,3688,2637,101,12958,6325,0.8587494841106067,0.5830830039525692,0.9733438902084983,0.4169169960474308,0.7292861380264979
0.863265306122449,3683,2600,106,12995,6283,0.8604003301692117,0.5861849434983288,0.9720242808128794,0.41381505650167116,0.7313343923749007
0.8806122448979592,3662,2551,127,13044,6213,0.8618448204704912,0.5894093030741993,0.96648192135128,0.41059069692580075,0.732253549290142
0.8979591836734694,3643,2498,146,13097,6141,0.863598844407759,0.5932258589806221,0.9614674056479282,0.406774141019378,0.7337361530715005
0.9153061224489796,3602,2420,187,13175,6022,0.8655076351630211,0.598140152773165,0.9506466086038533,0.40185984722683493,0.7342778513912955
0.9326530612244898,3537,2302,252,13293,5839,0.8682418489475856,0.6057544100017126,0.9334916864608076,0.3942455899982874,0.7347320315745741
0.95,3438,2138,351,13457,5576,0.8715951300041271,0.616571018651363,0.9073634204275535,0.383428981348637,0.7342231713828083
